Aguanueva,Concepcion,Grunidora,Loreto,Ojocaliente,Pinos,SanPedro,VillaDeCos,VillaGarcia,,Cluster I Semi-arid,,Excamé,Villita,Téul,Tlaltenango,,Cluster II Canyons,,,Bufa,Calera,Cazadero,Chalchihuites,Sauz,Fresnillo,Jerez,Jiménez,Chique,Santa Rosa,Trancoso,Villanueva,Zacatecas,,Cluster III Highlands,,,Florida,Monte Escobedo,Platanito,Juchipila,,Cluster IV Mountains
0.780291245,1.733062403,0.879532267,-0.024325853,0.756992916,0.873924659,0.582275096,0.601513515,0.607360124,,0.7545,,0.558661585,1.330808411,-0.968601757,1.12825183,,0.5123,,,-1.753601069,1.390187286,0.406230444,1.373579368,0.956879786,0.624809341,1.248520323,0.808337828,0.751755315,0.923961521,0.742051754,1.568665804,0.377913866,,0.7246,,,1.228687486,0.787886381,1.308779677,1.308779677,,1.1585
0.497486856,1.3519598,0.429948457,-0.380614252,0.443867707,0.820078352,0.462671035,0.553150256,0.570574902,,0.5277,,0.286102696,1.116252705,-1.027147771,1.213278857,,0.3971,,,-1.768383161,1.123947256,0.116202475,1.155430438,0.546614271,0.74728472,0.982705481,0.633969888,0.595074845,0.715972979,0.484758181,1.511805382,0.150075183,,0.5381,,,0.8538554,0.564570434,1.285891062,1.285891062,,0.9976
0.547325211,0.791447024,0.558686648,-0.036568146,0.374309068,1.055665684,0.337235224,1.038068238,0.820445201,,0.6096,,0.04281952,1.142600917,-1.200830585,1.357298707,,0.3355,,,-1.679082918,1.611681318,0.063523578,1.351467869,0.588356562,1.198889983,0.907239751,0.586221675,0.589481517,0.840385843,0.514522834,1.847321092,0.036957884,,0.6505,,,0.688080219,0.710300544,1.091304163,1.091304163,,0.8952
0.540473616,0.687598491,0.548849541,0.008276477,0.453250542,1.119448654,0.379875597,1.126424925,0.652705534,,0.6130,,0.077589531,1.059534539,-1.366559382,1.356026109,,0.2816,,,-1.689075684,1.592663685,0.065636305,1.334613934,0.549623531,1.207775088,0.823149524,0.52842819,0.570043078,0.752506309,0.557594363,1.809138293,-0.001431439,,0.6231,,,0.481760056,0.436208278,1.011026897,1.011026897,,0.7350
0.630930919,0.98376333,0.672268416,-0.072047744,0.380072977,1.156031938,0.262917642,1.672407316,0.619492995,,0.7006,,0.137321219,1.079025059,-1.10651259,1.375039525,,0.3712,,,-1.572110497,1.727096707,0.202118652,1.360602123,0.566702494,0.905590036,0.975448715,0.524669224,0.570920693,0.800983251,0.659840727,1.860237809,0.168144598,,0.6731,,,0.519998956,0.576325578,1.010082544,1.010082544,,0.7791
0.507927607,1.045482163,0.568427106,0.051391348,0.264031123,1.072143056,0.091739361,1.662920911,0.377034606,,0.6268,,-0.312726879,0.651407691,-1.38550725,0.983509236,,-0.0158,,,-1.675707995,1.689384753,0.144828197,1.315839879,0.334148977,0.720169095,0.647068968,0.51981652,0.561024337,0.604572514,0.390820992,1.623373762,-0.031350896,,0.5265,,,0.229871642,0.279987149,0.717284741,0.717284741,,0.4861
0.29990864,0.784070665,0.440044428,0.265861291,0.443659471,1.103932106,0.225722406,1.587031045,0.581064584,,0.6368,,-0.170280851,0.899011898,-1.144536236,1.064590403,,0.1622,,,-1.552284756,1.772772568,-0.078103357,1.437295321,0.277603875,0.627667927,0.689122324,0.483373126,0.871663624,0.60451065,0.988297532,1.814036923,0.213612585,,0.6269,,,0.340875381,0.284148407,0.537374242,0.537374242,,0.4249
-0.010220204,0.111634535,0.002067674,-0.162023044,0.253317146,0.849692298,0.070610234,1.163105977,0.159284998,,0.2708,,-0.166011791,0.816459894,-1.138867522,1.417261139,,0.2322,,,-1.773993106,1.397045101,-0.005574365,1.697621346,0.368898165,0.380905501,0.001557882,0.328893545,0.719363222,0.730159311,0.675149377,1.714001379,-0.323766499,,0.4546,,,0.628350558,-0.237957098,0.043297922,0.043297922,,0.1192
-0.17625362,-0.153305466,0.186792682,-0.560887082,0.024389625,0.881226013,-0.300761993,1.107511319,-0.137839504,,0.0968,,0.058640438,0.951635772,-0.805216144,1.494125461,,0.4248,,,-1.778453529,0.553645129,0.110860543,1.506879143,0.462534654,0.49825978,0.231361751,0.923082877,0.634472584,0.51276861,0.364081131,1.106008939,-0.562115425,,0.3510,,,0.639271952,0.222208163,0.292913467,0.292913467,,0.3618
-0.500063457,-0.258029962,0.308480934,0.241538172,0.51068074,0.896051079,0.493859515,1.919840435,-0.333405567,,0.3643,,-0.135349466,1.647416801,0.144252624,1.920099581,,0.8941,,,-1.64378087,-0.661362824,0.414105272,0.889726365,0.030660273,0.788085959,0.731077734,0.157586465,0.717371269,0.534805125,0.687128249,1.335976156,-0.719231375,,0.2509,,,0.800466225,0.286067078,0.368471689,0.368471689,,0.4559
